anomaly,normal,similarity,method,class
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0017_car_A2_spd_37V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0044_car_B1_spd_31V_mic_1.wav,0.9999980405413893,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0010_car_B2_spd_31V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0589_car_C1_spd_40V_mic_1.wav,0.9999993411746956,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0022_car_A2_spd_28V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0009_car_B1_spd_31V_mic_1.wav,0.7674954769658971,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0045_car_E2_spd_28V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0417_car_C1_spd_31V_mic_1.wav,0.9999986801450774,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0035_car_D1_spd_31V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0293_car_B1_spd_40V_mic_1.wav,0.9999985165849945,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0044_car_E2_spd_28V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0189_car_B2_spd_34V_mic_1.wav,0.6992005199908978,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0023_car_A2_spd_37V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0500_car_C2_spd_34V_mic_1.wav,0.7514590443230438,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0020_car_C1_spd_34V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0714_car_D1_spd_31V_mic_1.wav,0.9999986255662681,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0046_car_D2_spd_31V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0308_car_B2_spd_40V_mic_1.wav,0.750405967852773,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0017_car_B2_spd_40V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0075_car_B1_spd_31V_mic_1.wav,0.9999980752813745,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0042_car_D2_spd_31V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0882_car_D1_spd_40V_mic_1.wav,0.7988715643096252,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0042_car_E2_spd_37V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0099_car_B2_spd_31V_mic_1.wav,0.7807350468397494,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0016_car_A2_spd_37V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0878_car_D1_spd_40V_mic_1.wav,0.6944077308537692,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0040_car_D1_spd_34V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0354_car_C2_spd_31V_mic_1.wav,0.8088424798299575,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0034_car_D1_spd_31V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0256_car_B1_spd_40V_mic_1.wav,0.9999990244588909,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0005_car_A1_spd_37V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0917_car_D1_spd_40V_mic_1.wav,0.7464845922263064,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0021_car_A2_spd_28V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0018_car_B1_spd_31V_mic_1.wav,0.9999987310206396,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0021_car_C1_spd_40V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0308_car_B2_spd_40V_mic_1.wav,0.7878061656195384,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0018_car_A2_spd_37V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0099_car_B2_spd_31V_mic_1.wav,0.7602406626005145,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0050_car_E2_spd_37V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0057_car_B1_spd_31V_mic_1.wav,0.9999985939123222,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0049_car_D2_spd_40V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0089_car_B1_spd_31V_mic_1.wav,0.999998673355791,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0033_car_C2_spd_40V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0488_car_C1_spd_34V_mic_1.wav,0.9999984672965383,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0030_car_C2_spd_31V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0520_car_C1_spd_34V_mic_1.wav,0.9999990313363498,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0005_car_B1_spd_31V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0644_car_C2_spd_40V_mic_1.wav,0.9999984717051659,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0027_car_E1_spd_28V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0300_car_B1_spd_40V_mic_1.wav,0.7966704378069858,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0031_car_E1_spd_37V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0853_car_D1_spd_34V_mic_1.wav,0.7392218654104591,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0003_car_B1_spd_34V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0437_car_C2_spd_31V_mic_1.wav,0.6239547269341684,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0036_car_E1_spd_37V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0192_car_B2_spd_34V_mic_1.wav,0.7423094757309062,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_target_test_anomaly_0046_car_E2_spd_28V_mic_2.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0615_car_C1_spd_40V_mic_1.wav,0.9999983366248171,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0013_car_B2_spd_40V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0239_car_B2_spd_40V_mic_1.wav,0.9999988141673557,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0004_car_B1_spd_40V_mic_1.wav,../../datasets/dev/ToyCar/train/section_00_source_train_normal_0087_car_B1_spd_31V_mic_1.wav,0.9999980015691216,SSIM,ToyCar
../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0006_car_B1_spd_34V_mic_1.wav,../../datasets/dev/ToyCar/test/section_00_target_test_normal_0020_car_A2_spd_37V_mic_2.wav,0.9999993968115756,SSIM,ToyCar
